B_10_MIN_BLOCK,B_AGE_CODE,B_REGION,B_BAND_SIZE_CODE,B_BAND_STATUS_CODE,B_BAND_TYPE_CODE,B_BIRD_STATUS,B_COMMENTS,B_COORD_PRECISION,B_DIRECTION_CODE,B_EXTRA_INFO_CODE,B_FLYWAY_CODE,B_HOW_AGED_CODE,B_HOW_CAPTURED,B_HOW_SEXED_CODE,B_LAT_10_MIN_BLK,B_LAT_DECIMAL_DEGREES,B_LOCATION_DESCRIPTION,B_LOCATION_ID,B_LON_10_MIN_BLK,B_LON_DECIMAL_DEGREES,B_MARKER_LONG_DESC,B_PERMIT_NUM,B_REMARKS,B_SEX_CODE,B_SPECIES_ID,B_SPECIES_NAME,BAND_NUM,BANDING_DATE,BANDING_DAY,BANDING_MONTH,BANDING_YEAR,BEARING,DISTANCE,E_10_MIN_BLOCK,E_REGION,E_CAPTURE_TIME,E_CERTIFICATE_FLAG,E_CERTIFICATE_LANGUAGE,E_COMMENTS,E_COORD_PRECISION,E_COUNTRY_CODE,E_COUNTY_CODE,E_CREATE_DATE,E_CREATE_MONTH,E_CREATE_YEAR,E_DIRECTION_CODE,E_ENC_COUNTY_ORIGINAL,E_FLYWAY_CODE,E_HOW_CAPTURED,E_HOW_OBTAINED_CODE,E_LAT_10_MIN_BLK,E_LAT_DECIMAL_DEGREES,E_LOCATION_DESCRIPTION,E_LOCATION_ID,E_LON_10_MIN_BLK,E_LON_DECIMAL_DEGREES,E_MARKER_LONG_DESC,E_PLACE_NAME,E_PRESENT_CONDITION_CODE,E_REMARKS,E_SPECIES_NAME,E_STATE_CODE,E_WHO_OBTAINED_CODE,E_WHY_REPORTED_CODE,ENCOUNTER_DATE,ENCOUNTER_DAY,ENCOUNTER_MONTH,ENCOUNTER_YEAR,HSS,MIN_AGE_AT_ENC,ORIGINAL_BAND,OTHER_BANDS,SAME_10_MIN_BLOCK
"5321131","2","04","3","0","11","3","",10,"0","00","6","","","","532",53.41667,"7  W OF COOKING L, Alberta, Canada",142366,"1131",-113.25,"","10066","","4","3600","American Kestrel","054318027",08/21/1970,"21","08","1970","S",173.2,"5051125","04","","9","E","B#06490; create date from C#0371",10,"CA","000",03/31/1971,"03","1971","0","","6","","00","505",50.91667,"",,"1125",-112.91667,"","","05","","","01","21","01",08/27/1970,"27","08","1970",1,.17,"054318027","","N"
"3910844","4","66","4","0","18","3","",10,"0","00","2","","","","391",39.25,"MIAMITOWN, Ohio, United States",22730,"0844",-84.75,"","08083","","5","3600","American Kestrel","054467123",05/24/1965,"24","05","1965","SE",14.6,"3900843","66","","9","E","B#00000; create date from C#0865",10,"US","000",09/23/1965,"09","1965","0","","2","","21","390",39.08333,"",,"0843",-84.58333,"","","00","","","39","21","00",,"52","06","1965",99,,"054467123","","N"
"3910844","1","66","4","0","18","3","",10,"0","00","2","","","","391",39.25,"MIAMITOWN, Ohio, United States",22730,"0844",-84.75,"","08083","","5","3600","American Kestrel","054467187",12/05/1965,"05","12","1965","",0,"3910844","66","","9","E","B#00000; create date from C#1066",10,"US","000",10/31/1966,"10","1966","0","","2","","33","391",39.25,"",,"0844",-84.75,"","","07","","","39","23","01",05/20/1966,"20","05","1966",1,1.92,"054467187","","Y"
"4050740","2","59","3","0","11","3","",10,"0","00","1","","","","405",40.91667,"Paramus, Bergen County New Jersey, United States",77057,"0740",-74.08333,"","07122","","4","3600","American Kestrel","056341612",07/06/1960,"06","07","1960","S",34.5,"4020740","59","","9","E","B#00000; create date from C#1060",10,"US","000",10/31/1960,"10","1960","0","","1","","20","402",40.41667,"",,"0740",-74.08333,"","","03","","","34","21","00",,"68","07","1960",99,,"056341612","","N"
"4300760","4","61","3","0","11","3","",10,"0","00","1","","","","430",43.08333,"SYRACUSE, New York, United States",93612,"0760",-76.08333,"","07143","","4","3600","American Kestrel","056323170",06/11/1961,"11","06","1961","",0,"4300760","61","","9","E","B#00000; create date from C#0862",10,"US","000",08/31/1962,"08","1962","0","","1","","01","430",43.08333,"",,"0760",-76.08333,"","","03","","","36","21","00",06/28/1962,"28","06","1962",1,1,"056323170","","Y"
"3700755","2","88","3A","0","11","3","",10,"0","00","1","","","","370",37.08333,"KIPTOPEKE, Virginia, United States",90594,"0755",-75.91667,"","07790","","5","3600","American Kestrel","061330454",09/29/1968,"29","09","1968","SSW",627.8,"2900810","25","","9","E","B#04550; create date from C#0869",10,"US","000",10/19/1969,"10","1969","0","","1","","00","290",29.08333,"",,"0810",-81.08333,"","","05","","","12","21","01",,"99","02","1969",1,.67,"061330454","","N"
"2950842","1","25","3","0","11","3","",10,"0","00","1","","","","295",29.91667,"LIGHTHOUSE PT, Florida, United States",96763,"0842",-84.41667,"","08017","","5","3600","American Kestrel","062325913",01/09/1960,"09","01","1960","NNE",1530.2,"4840690","76","","9","E","B#00000; create date from C#0563",10,"CA","000",05/31/1963,"05","1963","0","","6","","00","484",48.75,"",,"0690",-69.08333,"","","03","","","10","21","00",,"64","11","1962",99,,"062325913","","N"
"4020741","1","59","3","0","11","3","",10,"0","00","1","","","","402",40.41667,"MORGANVILLE, New Jersey, United States",56598,"0741",-74.25,"","08003","","4","3600","American Kestrel","062303307",11/17/1961,"17","11","1961","",0,"4020741","59","","9","E","B#00000; create date from C#0762",10,"US","000",07/31/1962,"07","1962","0","","1","","00","402",40.41667,"",,"0741",-74.25,"","","03","","","34","21","00",,"67","01","1962",99,,"062303307","","Y"
"3820750","0","46","3","0","11","3","",10,"0","00","1","","","","382",38.41667,"North Ocean City(North Ocean City), Worcester County Maryland, United States",80827,"0750",-75.08333,"","07153","","4","3600","American Kestrel","062356412",09/22/1961,"22","09","1961","NW",14.6,"3830751","21","","9","E","B#00000; create date from C#0364",10,"US","000",03/31/1964,"03","1964","0","","1","","98","383",38.58333,"",,"0751",-75.25,"","","00","","","10","21","00",11/17/1963,"17","11","1963",99,,"062356412","","N"
"3720944","1","38","3","0","11","3","",10,"0","00","3","","","","372",37.41667,"PITTSBURG, Kansas, United States",89230,"0944",-94.75,"","05609","","4","3600","American Kestrel","062365544",01/31/1961,"31","01","1961","",0,"3720944","38","","9","E","B#00000; create date from C#0661",10,"US","000",07/18/1961,"07","1961","0","","3","","01","372",37.41667,"",,"0944",-94.75,"","","03","","","20","21","00",02/13/1961,"13","02","1961",0,.67,"062365544","","Y"
"3910760","1","46","3","0","11","3","",10,"0","00","1","","","","391",39.25,"CHESTERTOWN, Maryland, United States",100401,"0760",-76.08333,"","09289","","4","3600","American Kestrel","062374939",12/31/1967,"31","12","1967","",0,"3910760","46","","9","E","B#08703; create date from C#0473",10,"US","000",04/30/1973,"04","1973","0","","1","","66","391",39.25,"",,"0760",-76.08333,"","","07","","","24","22","01",02/24/1973,"24","02","1973",6,6.67,"062374939","","Y"
"3900760","1","46","3","0","11","3","",10,"0","00","1","","","","390",39.08333,"CENTREVILLE, Maryland, United States",86947,"0760",-76.08333,"","09289","","5","3600","American Kestrel","062374976",02/04/1968,"04","02","1968","",0,"3900760","46","","9","E","B#08703; create date from C#0473",10,"US","000",04/30/1973,"04","1973","0","","1","","45","390",39.08333,"",,"0760",-76.08333,"","","04","","","24","22","01",01/30/1973,"30","01","1973",5,5.58,"062374976","","Y"
"3840755","1","46","3","0","11","3","",10,"0","00","1","","","","384",38.75,"PRESTON, Maryland, United States",90475,"0755",-75.91667,"","09289","","4","3600","American Kestrel","062375004",02/06/1968,"06","02","1968","W",201.1,"3810793","88","","9","E","B#04321; create date from C#0469",10,"US","000",05/26/1969,"05","1969","0","","1","","00","381",38.25,"",,"0793",-79.58333,"","","05","","","51","21","01",12/15/1968,"15","12","1968",1,1.5,"062375004","","N"
"3850755","1","46","3","0","11","3","",10,"0","00","1","","","","385",38.91667,"RIDGELY, Maryland, United States",92156,"0755",-75.91667,"","09289","","5","3600","American Kestrel","062375016",02/06/1968,"06","02","1968","NNE",972.7,"5010640","76","","9","E","B#04568; create date from C#0869",10,"CA","000",10/19/1969,"10","1969","0","","6","","01","501",50.25,"",,"0640",-64.08333,"","","05","","","10","21","01",05/01/1969,"01","05","1969",1,1.92,"062375016","","N"
"3840770","4","88","3","0","11","3","",10,"0","00","1","","","","384",38.75,"11 S WASHINGTON, Virginia, United States",94660,"0770",-77.08333,"","09289","","4","3600","American Kestrel","062375065",06/11/1968,"11","06","1968","",0,"3840770","88","","9","E","B#03780; create date from C#0868",10,"US","000",08/31/1968,"08","1968","0","","1","","97","384",38.75,"",,"0770",-77.08333,"","","10","","","51","22","01",06/14/1968,"14","06","1968",0,0,"062375065","","Y"
"3920754","2","21","3","0","11","3","",10,"0","00","1","","","","392",39.41667,"TOWNSEND, Delaware, United States",130475,"0754",-75.75,"","09289","","5","3600","American Kestrel","062375084",08/03/1968,"03","08","1968","",0,"3920754","21","","9","E","B#07761; create date from C#0272",10,"US","000",02/29/1972,"02","1972","0","","1","","14","392",39.41667,"",,"0754",-75.75,"","","05","","","10","22","01",12/18/1971,"18","12","1971",4,3.5,"062375084","","Y"
"3910755","1","46","3","0","11","3","",10,"0","00","1","","","","391",39.25,"CRUMPTON, Maryland, United States",92455,"0755",-75.91667,"","09289","","5","3600","American Kestrel","062375090",08/04/1968,"04","08","1968","NNE",321.1,"4300722","87","","9","E","B#04544; create date from C#0769",10,"US","000",09/12/1969,"09","1969","0","","1","","00","430",43.08333,"",,"0722",-72.41667,"","","05","","","50","21","01",04/13/1969,"13","04","1969",1,1.83,"062375090","","N"
"3850745","2","59","3","0","11","3","",10,"0","00","1","","","","385",38.91667,"CAPE MAY, New Jersey, United States",5547,"0745",-74.91667,"","09289","","4","3600","American Kestrel","062375189",09/28/1968,"28","09","1968","SSW",974.5,"2530802","25","","9","E","B#07020; create date from C#0471",10,"US","000",04/30/1971,"04","1971","0","","1","","66","253",25.58333,"",,"0802",-80.41667,"","","07","","","12","23","01",01/20/1971,"20","01","1971",3,2.58,"062375189","","N"
"4240935","0","36","3","0","11","3","",10,"0","00","2","","","","424",42.75,"Iowa, United States",100227,"0935",-93.91667,"","07820","","4","3600","American Kestrel","062352351",09/15/1961,"15","09","1961","S",935.8,"2910952","83","","9","E","B#00000; create date from C#0563",10,"US","000",05/31/1963,"05","1963","0","","3","","04","291",29.25,"",,"0952",-95.41667,"","","03","","","48","21","00",02/20/1963,"20","02","1963",2,1.67,"062352351","","N"
"3730754","1","88","3","0","11","3","",10,"0","00","1","","","","373",37.58333,"KELLER, Virginia, United States",85699,"0754",-75.75,"","09289","","4","3600","American Kestrel","062312312",12/11/1966,"11","12","1966","WSW",59.5,"3710764","88","","9","E","B#03592; create date from C#0868",10,"US","000",08/31/1968,"08","1968","0","","1","","00","371",37.25,"",,"0764",-76.75,"","","05","","","51","21","01",,"79","01","1968",99,,"062312312","","N"
"3910761","1","46","3","0","11","3","",10,"0","00","1","","","","391",39.25,"FAIRLEE, Maryland, United States",89742,"0761",-76.25,"","09289","","4","3600","American Kestrel","062312345",01/22/1967,"22","01","1967","NE",58.1,"3950753","72","","9","E","B#00000; create date from C#0967",10,"US","000",11/24/1967,"11","1967","0","","1","","00","395",39.91667,"",,"0753",-75.58333,"","","05","","","42","21","01",04/14/1967,"14","04","1967",0,.83,"062312345","","N"
"3920755","1","46","3","0","11","3","",10,"0","00","1","","","","392",39.41667,"EARLEVILLE, Maryland, United States",91368,"0755",-75.91667,"","09289","","5","3600","American Kestrel","062312453",08/13/1967,"13","08","1967","",0,"3920755","46","","9","E","B#03458; create date from C#0568",10,"US","000",05/31/1968,"05","1968","0","","1","","91","392",39.41667,"",,"0755",-75.91667,"","","05","","","24","20","01",12/28/1967,"28","12","1967",1,1.5,"062312453","","Y"
"3920760","1","46","3","0","11","3","",10,"0","00","1","","","","392",39.41667,"BETTERTON, Maryland, United States",141611,"0760",-76.08333,"","09289","","4","3600","American Kestrel","062312459",08/13/1967,"13","08","1967","SE",14.5,"3910755","46","","9","E","B#07881; create date from C#0272",10,"US","000",02/29/1972,"02","1972","0","","1","","00","391",39.25,"",,"0755",-75.91667,"","","05","","","24","21","01",01/17/1972,"17","01","1972",5,5.58,"062312459","","N"
"3840760","1","46","3","0","11","3","",10,"0","00","1","","","","384",38.75,"EASTON, Maryland, United States",91523,"0760",-76.08333,"","09289","","5","3600","American Kestrel","062312481",08/20/1967,"20","08","1967","ESE",29.3,"3830753","21","","9","E","B#03721; create date from C#0668",10,"US","000",06/30/1968,"06","1968","0","","1","","04","383",38.58333,"",,"0753",-75.58333,"","","05","","","10","21","01",03/27/1968,"27","03","1968",1,1.75,"062312481","","N"
"4440894","0","91","3","0","11","3","",10,"0","00","2","","","","444",44.75,"MOON, Wisconsin, United States",111133,"0894",-89.75,"","05460","","4","3600","American Kestrel","062331824",04/05/1963,"05","04","1963","SSW",618.4,"3620940","07","","9","E","B#00000; create date from C#0364",10,"US","000",03/31/1964,"03","1964","0","","2","","00","362",36.41667,"",,"0940",-94.08333,"","","03","","","05","21","00",01/15/1964,"15","01","1964",1,.75,"062331824","","N"
"4410893","1","91","3","0","11","3","",10,"0","00","2","","","","441",44.25,"BANCROFT, Wisconsin, United States",5587,"0893",-89.58333,"","05460","","5","3600","American Kestrel","062331840",08/12/1963,"12","08","1963","E",8.2,"4410892","91","","9","E","B#00000; create date from C#0664",10,"US","000",06/30/1964,"06","1964","0","","2","","00","441",44.25,"",,"0892",-89.41667,"","","03","","","55","21","00",,"78","04","1964",99,,"062331840","","N"
"4420893","2","91","3","0","11","3","",10,"0","00","2","","","","442",44.41667,"PLOVER, Wisconsin, United States",2529,"0893",-89.58333,"","05460","","5","3600","American Kestrel","062331843",08/13/1963,"13","08","1963","SSW",390.1,"3900920","52","","9","E","B#03368; create date from C#0768",10,"US","000",07/31/1968,"07","1968","0","","2","","00","390",39.08333,"",,"0920",-92.08333,"","","05","","","29","21","01",11/19/1967,"19","11","1967",5,4.42,"062331843","","N"
"4420893","1","91","3","0","11","3","",10,"0","00","2","","","","442",44.41667,"PLOVER, Wisconsin, United States",2529,"0893",-89.58333,"","05460","","5","3600","American Kestrel","062331855",08/17/1963,"17","08","1963","SSW",1186,"2820972","83","","9","E","B#00000; create date from C#0364",10,"US","000",03/31/1964,"03","1964","0","","3","","28","282",28.41667,"",,"0972",-97.41667,"","","00","","","48","22","00",11/15/1963,"15","11","1963",1,1.42,"062331855","","N"
"4430894","1","91","3","0","11","3","",10,"0","00","2","","","","443",44.58333,"JUNCTION CITY, Wisconsin, United States",98049,"0894",-89.75,"","05460","","4","3600","American Kestrel","062331871",08/21/1963,"21","08","1963","S",11.5,"4420894","91","","9","E","B#00000; create date from C#0364",10,"US","000",03/31/1964,"03","1964","0","","2","","00","442",44.41667,"",,"0894",-89.75,"","","03","","","55","21","00",,"80","01","1964",99,,"062331871","","N"
"4420910","1","91","3","0","11","3","",10,"0","00","2","","","","442",44.41667,"Hixton(Hixton), Jackson County Wisconsin, United States",106457,"0910",-91.08333,"","05460","","4","3600","American Kestrel","062331894",09/14/1963,"14","09","1963","E",8.2,"4420905","91","","9","E","B#00000; create date from C#0964",10,"US","000",09/30/1964,"09","1964","0","","2","","66","442",44.41667,"",,"0905",-90.91667,"","","00","","","55","23","00",08/03/1964,"03","08","1964",2,2.17,"062331894","","N"
"4430900","4","91","3","0","11","3","",10,"0","00","2","","","","443",44.58333,"ARPIN, Wisconsin, United States",105920,"0900",-90.08333,"","05460","","4","3600","American Kestrel","062331984",06/17/1963,"17","06","1963","",0,"4430900","91","","9","E","B#00000; create date from C#0665",10,"US","000",07/18/1965,"07","1965","0","","2","","66","443",44.58333,"",,"0900",-90.08333,"","","00","","","55","23","00",04/10/1965,"10","04","1965",2,1.83,"062331984","","Y"
"3910843","2","66","3","0","11","3","",10,"0","00","2","","","","391",39.25,"MT HEALTHY, Ohio, United States",112116,"0843",-84.58333,"","09264","","5","3600","American Kestrel","062326506",12/18/1965,"18","12","1965","W",8.9,"3910844","66","","9","E","B#00000; create date from C#0967",10,"US","000",11/24/1967,"11","1967","0","","2","","33","391",39.25,"",,"0844",-84.75,"","","07","","","39","23","01",05/07/1967,"07","05","1967",2,1.92,"062326506","","N"
"4120821","2","66","3","0","11","3","",10,"0","00","2","","","","412",41.41667,"AMHERST, Ohio, United States",106855,"0821",-82.25,"","09264","","4","3600","American Kestrel","062326508",12/20/1965,"20","12","1965","NE",14.4,"4130820","66","","9","E","B#03504; create date from C#0768",10,"US","000",07/31/1968,"07","1968","0","","2","","14","413",41.58333,"",,"0820",-82.08333,"","","05","","","39","21","01",12/26/1967,"26","12","1967",3,2.5,"062326508","","N"
"4430895","0","91","3","0","11","3","",10,"0","00","2","","","","443",44.58333,"11 N OF VESPER, Wisconsin, United States",103793,"0895",-89.91667,"","00627","","4","3600","American Kestrel","062373682",04/10/1963,"10","04","1963","S",11.5,"4420895","91","","9","E","B#00000; create date from C#0665",10,"US","000",07/18/1965,"07","1965","0","","2","","66","442",44.41667,"",,"0895",-89.91667,"","","00","","","55","23","00",04/07/1965,"07","04","1965",2,2,"062373682","","N"
"4430895","0","91","3","0","11","3","",10,"0","00","2","","","","443",44.58333,"11 N OF VESPER, Wisconsin, United States",103793,"0895",-89.91667,"","00627","","4","3600","American Kestrel","062373684",04/10/1963,"10","04","1963","S",657.4,"3500904","07","","9","E","B#00000; create date from C#0164",10,"US","000",01/31/1964,"01","1964","0","","2","","00","350",35.08333,"",,"0904",-90.75,"","","03","","","05","21","00",,"62","03","1964",99,,"062373684","","N"
"4330874","2","91","3","0","11","3","",10,"0","00","2","","","","433",43.58333,"CEDAR GROVE, Wisconsin, United States",59298,"0874",-87.75,"","00627","","4","3600","American Kestrel","062373688",10/26/1963,"26","10","1963","S",115.4,"4150873","34","","9","E","B#00000; create date from C#0264",10,"US","000",02/29/1964,"02","1964","0","","2","","36","415",41.91667,"",,"0873",-87.58333,"","","00","","","17","21","00",,"56","11","1963",99,,"062373688","","N"
"4350882","0","91","3","0","11","3","",10,"0","00","2","","","","435",43.91667,"8  E OF MARYTOWN, Wisconsin, United States",99844,"0882",-88.41667,"","00627","","5","3600","American Kestrel","062373690",03/29/1964,"29","03","1964","S",11.5,"4340882","91","","9","E","B#00000; create date from C#0467",10,"US","000",05/26/1967,"05","1967","0","","2","","45","434",43.75,"",,"0882",-88.41667,"","","05","","","55","21","01",11/10/1966,"10","11","1966",3,2.67,"062373690","","N"
"4310722","1","87","3","0","11","3","",10,"0","00","1","","","","431",43.25,"CHARLESTOWN, Vermont, United States",92092,"0722",-72.41667,"","00627","","5","3600","American Kestrel","062373693",06/03/1964,"03","06","1964","SSW",372.4,"3820753","46","","9","E","B#00000; create date from C#0665",10,"US","000",07/18/1965,"07","1965","0","","1","","98","382",38.41667,"",,"0753",-75.58333,"","","00","","","24","21","00",03/12/1965,"12","03","1965",99,,"062373693","","N"
"3900843","1","39","3","0","11","3","",10,"0","00","2","","","","390",39.08333,"CINCINNATI, Kentucky, United States",102707,"0843",-84.58333,"","08085","","4","3600","American Kestrel","062377144",04/09/1968,"09","04","1968","",0,"3900843","66","","9","E","B#04488; create date from C#0869",10,"US","000",10/19/1969,"10","1969","0","","2","","00","390",39.08333,"",,"0843",-84.58333,"","","05","","","39","21","01",02/20/1969,"20","02","1969",1,1.67,"062377144","","Y"
"4400901","2","91","3","0","11","3","",10,"0","00","2","","","","440",44.08333,"SHENNINGTON, Wisconsin, United States",105865,"0901",-90.25,"","00627","","5","3600","American Kestrel","062373614",05/05/1960,"05","05","1960","ENE",42.8,"4410892","91","","9","E","B#00000; create date from C#0960",10,"US","000",09/30/1960,"09","1960","0","","2","","00","441",44.25,"",,"0892",-89.41667,"","","03","","","55","21","00",05/14/1960,"14","05","1960",0,0,"062373614","","N"
"4001050","1","17","3","0","11","3","",10,"0","00","3","","","","400",40.08333,"LONGMONT, Colorado, United States",139476,"1050",-105.08333,"","08070","","4","3600","American Kestrel","062368929",12/18/1960,"18","12","1960","W",8.8,"4001051","17","","9","E","B#00000; create date from C#0862",10,"US","000",08/31/1962,"08","1962","0","","3","","14","400",40.08333,"",,"1051",-105.25,"","","03","","","08","21","00",04/27/1962,"27","04","1962",2,2.83,"062368929","","N"
"4340791","4","68","3","0","11","3","",10,"0","00","6","","","","434",43.75,"11 S OF MARKHAM, Ontario, Canada",128453,"0791",-79.25,"","00179","","0","3600","American Kestrel","062320416",06/12/1960,"12","06","1960","W",8.3,"4340792","68","","9","E","B#00000; create date from C#0961",10,"CA","000",10/26/1961,"10","1961","0","","6","","00","434",43.75,"",,"0792",-79.41667,"","","03","","","08","21","00",06/17/1960,"17","06","1960",0,0,"062320416","","N"
"4340791","0","68","3","0","11","3","",10,"0","00","6","","","","434",43.75,"11 S OF MARKHAM, Ontario, Canada",128453,"0791",-79.25,"","00179","","0","3600","American Kestrel","062320423",12/24/1960,"24","12","1960","",0,"4340791","68","","9","E","B#00000; create date from C#0862",10,"CA","000",08/31/1962,"08","1962","0","","6","","00","434",43.75,"",,"0791",-79.25,"","","03","","","08","21","00",,"64","06","1962",99,,"062320423","","Y"
"4340791","1","68","3","0","11","3","",10,"0","00","6","","","","434",43.75,"11 S OF MARKHAM, Ontario, Canada",127906,"0791",-79.25,"","10068","","4","3600","American Kestrel","062320449",12/30/1961,"30","12","1961","",0,"4340791","68","","9","E","B#00000; create date from C#0967",10,"CA","000",11/24/1967,"11","1967","0","","6","","00","434",43.75,"",,"0791",-79.25,"","","05","","","08","21","01",04/14/1967,"14","04","1967",6,6.83,"062320449","","Y"
"4340791","4","68","3","0","11","3","",10,"0","00","6","","","","434",43.75,"11 S OF MARKHAM, Ontario, Canada",127906,"0791",-79.25,"","10068","","4","3600","American Kestrel","062320450",05/30/1962,"30","05","1962","NW",20.2,"4350793","68","","9","E","B#00000; create date from C#0463",10,"CA","000",04/30/1963,"04","1963","0","","6","","00","435",43.91667,"",,"0793",-79.58333,"","","03","","","08","21","00",,"54","02","1963",99,,"062320450","","N"
"4340791","4","68","3","0","11","3","",10,"0","00","6","","","","434",43.75,"11 S OF MARKHAM, Ontario, Canada",127906,"0791",-79.25,"","10068","","4","3600","American Kestrel","062320451",05/30/1962,"30","05","1962","",0,"4340791","68","","9","E","B#00000; create date from C#1062",10,"CA","000",10/31/1962,"10","1962","0","","6","","28","434",43.75,"",,"0791",-79.25,"","","00","","","08","21","00",06/06/1962,"06","06","1962",0,.08,"062320451","","Y"
"4340791","4","68","3","0","11","3","",10,"0","00","6","","","","434",43.75,"11 S OF MARKHAM, Ontario, Canada",127906,"0791",-79.25,"","10068","","4","3600","American Kestrel","062320451",05/30/1962,"30","05","1962","W",8.3,"4340792","68","","9","E","B#00000; create date from C#0163",10,"CA","000",01/31/1963,"01","1963","0","","6","","01","434",43.75,"",,"0792",-79.41667,"","","03","","","08","21","00",,"75","09","1962",99,,"062320451","","N"
"4340791","4","68","3","0","11","3","",10,"0","00","6","","","","434",43.75,"11 S OF MARKHAM, Ontario, Canada",127906,"0791",-79.25,"","10068","","0","3600","American Kestrel","062320477",05/27/1963,"27","05","1963","WSW",129,"4240812","68","","9","E","B#06355; create date from C#0770",10,"CA","000",07/31/1970,"07","1970","0","","6","","00","424",42.75,"",,"0812",-81.41667,"","","05","","","08","21","01",03/29/1970,"29","03","1970",7,6.83,"062320477","","N"
