ch,sex,age_class,flyway,freq
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010""",M,AHY,1,187
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010""",M,AHY,2,91
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010""",M,AHY,3,62
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010""",M,AHY,4,173
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010""",M,HY,1,1128
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010""",M,HY,2,367
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010""",M,HY,3,114
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010""",M,HY,4,518
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010""",F,AHY,1,297
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010""",F,AHY,2,149
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010""",F,AHY,3,86
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010""",F,AHY,4,249
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010""",F,HY,1,1153
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010""",F,HY,2,434
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010""",F,HY,3,97
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010""",F,HY,4,452
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011""",M,AHY,1,1
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011""",M,AHY,2,1
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011""",M,AHY,3,1
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011""",M,AHY,4,1
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011""",M,HY,1,7
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011""",M,HY,4,6
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011""",F,AHY,1,4
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011""",F,AHY,3,1
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011""",F,AHY,4,2
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011""",F,HY,1,3
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011""",F,HY,2,1
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011""",F,HY,3,2
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011""",F,HY,4,1
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000""",M,AHY,1,139
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000""",M,AHY,2,65
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000""",M,AHY,3,35
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000""",M,AHY,4,158
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000""",M,HY,1,1204
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000""",M,HY,2,289
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000""",M,HY,3,141
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000""",M,HY,4,511
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000""",F,AHY,1,298
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000""",F,AHY,2,112
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000""",F,AHY,3,64
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000""",F,AHY,4,203
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000""",F,HY,1,1215
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000""",F,HY,2,353
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000""",F,HY,3,133
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000""",F,HY,4,559
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001001""",M,HY,1,7
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001001""",M,HY,4,2
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001001""",F,AHY,1,2
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001001""",F,HY,1,5
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001001""",F,HY,2,2
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001001""",F,HY,4,3
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100""",M,HY,1,2
