ch,sex,age_class,flyway,freq
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010""",M,AHY,1,110
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010""",M,AHY,2,64
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010""",M,AHY,3,30
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010""",M,AHY,4,142
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010""",M,AHY,6,52
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010""",M,HY,1,977
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010""",M,HY,2,287
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010""",M,HY,3,123
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010""",M,HY,4,427
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010""",M,HY,5,27
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010""",M,HY,6,310
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010""",F,AHY,1,257
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010""",F,AHY,2,112
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010""",F,AHY,3,60
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010""",F,AHY,4,191
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010""",F,AHY,6,60
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010""",F,HY,1,1013
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010""",F,HY,2,351
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010""",F,HY,3,122
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010""",F,HY,4,466
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010""",F,HY,5,28
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010""",F,HY,6,284
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011""",M,HY,1,2
