ch,sex,age_class,flyway,freq
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010""",M,AHY,1,187
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010""",M,AHY,2,91
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010""",M,AHY,3,62
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010""",M,AHY,4,173
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010""",M,HY,1,1008
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010""",M,HY,2,251
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010""",M,HY,3,76
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010""",M,HY,4,329
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010""",F,AHY,1,297
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010""",F,AHY,2,149
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010""",F,AHY,3,86
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010""",F,AHY,4,249
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010""",F,HY,1,1012
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010""",F,HY,2,285
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010""",F,HY,3,70
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010""",F,HY,4,286
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011""",M,AHY,1,1
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011""",M,AHY,2,1
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011""",M,AHY,3,1
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011""",M,AHY,4,1
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011""",M,HY,1,7
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011""",M,HY,4,4
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011""",F,AHY,1,4
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011""",F,AHY,3,1
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011""",F,AHY,4,2
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011""",F,HY,1,2
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011""",F,HY,2,1
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011""",F,HY,3,2
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011""",F,HY,4,1
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000""",M,AHY,1,139
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000""",M,AHY,2,65
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000""",M,AHY,3,35
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000""",M,AHY,4,158
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000""",M,HY,1,1010
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000""",M,HY,2,206
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000""",M,HY,3,87
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000""",M,HY,4,346
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000""",F,AHY,1,298
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000""",F,AHY,2,112
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000""",F,AHY,3,64
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000""",F,AHY,4,203
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000""",F,HY,1,1058
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000""",F,HY,2,228
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000""",F,HY,3,60
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000""",F,HY,4,388
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001001""",M,HY,1,7
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001001""",F,AHY,1,2
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001001""",F,HY,1,4
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001001""",F,HY,2,1
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001001""",F,HY,4,2
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100""",M,HY,1,2
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100""",M,HY,2,1
