ch,sex,age_class,flyway,freq
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010""",M,AHY,1,110
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010""",M,AHY,2,64
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010""",M,AHY,3,30
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010""",M,AHY,4,142
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010""",M,AHY,6,52
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010""",M,HY,1,863
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010""",M,HY,2,206
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010""",M,HY,3,69
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010""",M,HY,4,267
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010""",M,HY,5,26
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010""",M,HY,6,224
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010""",F,AHY,1,257
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010""",F,AHY,2,112
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010""",F,AHY,3,60
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010""",F,AHY,4,191
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010""",F,AHY,6,60
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010""",F,HY,1,914
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010""",F,HY,2,229
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010""",F,HY,3,49
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010""",F,HY,4,302
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010""",F,HY,5,28
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010""",F,HY,6,216
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011""",M,HY,1,2
